id,job_id,applicant_id,cover_letter,resume_url,applied_at
1,2,15,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_10.pdf,2025-05-03 02:18:01
2,14,36,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_40.pdf,2026-05-15 19:24:36
3,17,6,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_15.pdf,2025-03-02 08:25:56
4,19,12,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_21.pdf,2024-06-18 19:24:04
5,14,26,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_39.pdf,2025-05-03 14:50:15
6,15,29,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_49.pdf,2025-04-06 17:04:17
7,8,5,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_2.pdf,2023-02-23 07:17:06
8,17,12,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_30.pdf,2024-01-14 15:08:47
9,4,16,I'm excited to apply for this role. My portfolio showcases relevant experience in UX design.,https://cdn.dribbble.com/resumes/user_28.pdf,2023-08-12 19:29:41
10,4,21,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_3.pdf,2024-10-10 21:01:12
11,12,30,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_11.pdf,2025-08-16 01:45:57
12,16,32,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_21.pdf,2024-06-09 10:29:20
13,20,46,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_3.pdf,2026-04-21 00:39:52
14,1,15,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_38.pdf,2026-08-19 13:11:03
15,9,43,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_31.pdf,2023-08-04 06:33:32
16,9,1,I'm excited to apply for this role. My portfolio showcases relevant experience in UI design.,https://cdn.dribbble.com/resumes/user_29.pdf,2023-06-06 20:54:33
17,10,24,I'm excited to apply for this role. My portfolio showcases relevant experience in motion design.,https://cdn.dribbble.com/resumes/user_35.pdf,2023-02-25 23:30:33
18,7,1,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_9.pdf,2023-01-14 08:58:32
19,12,21,I'm excited to apply for this role. My portfolio showcases relevant experience in branding design.,https://cdn.dribbble.com/resumes/user_13.pdf,2026-02-07 08:45:03
